,oid,did,oy,ox,dy,dx,hour_of_day,uber_time,penalized_total_time,freeflow_travel_time,shortest_path_travel_time,penalized_distance,freeflow_distance,shortest_path_distance,penalty_route,freeflow_route,distance_route,penalty_signal_count,penalty_stop_count,penalty_crossing_count,penalty_give_way_count,penalty_mini_roundabout_count,penalty_left_count,penalty_right_count,penalty_u_count,freeflow_signal_count,freeflow_stop_count,freeflow_crossing_count,freeflow_give_way_count,freeflow_mini_roundabout_count,freeflow_left_count,freeflow_right_count,freeflow_u_count,distance_signal_count,distance_stop_count,distance_crossing_count,distance_give_way_count,distance_mini_roundabout_count,distance_left_count,distance_right_count,distance_u_count
0,123045359,122892984,34.2216648,-118.3987501,34.2282843,-118.4416134,3,258.92,322.4,308.4,308.4,4519.359,4519.359,4519.359,"[123045359, 122933933, 123045361, 122677855, 7021346928, 122628471, 697188203, 306527213, 306526966, 306526056, 306526595, 4052011406, 306526013, 361108909, 317105083, 317105037, 317105631, 317105674, 317106059, 317106031, 317105946, 122990892, 122990638, 1887613415, 1887613414, 1887613413, 1887613417, 123328869, 370928941, 122643358, 123328870, 122850760, 122714532, 122714529, 122892984]","[123045359, 122933933, 123045361, 122677855, 7021346928, 122628471, 697188203, 306527213, 306526966, 306526056, 306526595, 4052011406, 306526013, 361108909, 317105083, 317105037, 317105631, 317105674, 317106059, 317106031, 317105946, 122990892, 122990638, 1887613415, 1887613414, 1887613413, 1887613417, 123328869, 370928941, 122643358, 123328870, 122850760, 122714532, 122714529, 122892984]","[123045359, 122933933, 123045361, 122677855, 7021346928, 122628471, 697188203, 306527213, 306526966, 306526056, 306526595, 4052011406, 306526013, 361108909, 317105083, 317105037, 317105631, 317105674, 317106059, 317106031, 317105946, 122990892, 122990638, 1887613415, 1887613414, 1887613413, 1887613417, 123328869, 370928941, 122643358, 123328870, 122850760, 122714532, 122714529, 122892984]",7,0,0,0,0,2,2,0,7,0,0,0,0,2,2,0,7,0,0,0,0,2,2,0
1,1790535482,6474392373,34.1697727,-118.2083781,34.1536909,-118.2266211,3,135.47,335.9,333.9,333.9,4225.81,4225.81,4225.81,"[1790535482, 1790535428, 1790535505, 1790536003, 1790535659, 1790535475, 1790535545, 371370544, 371370549, 123139096, 19668668, 123286850, 122929696, 1790365352, 122973560, 19668639, 122973552, 123286846, 122685068, 1790365065, 1790533512, 123072789, 1790364528, 1790364484, 1790364466, 1790364299, 6474392373]","[1790535482, 1790535428, 1790535505, 1790536003, 1790535659, 1790535475, 1790535545, 371370544, 371370549, 123139096, 19668668, 123286850, 122929696, 1790365352, 122973560, 19668639, 122973552, 123286846, 122685068, 1790365065, 1790533512, 123072789, 1790364528, 1790364484, 1790364466, 1790364299, 6474392373]","[1790535482, 1790535428, 1790535505, 1790536003, 1790535659, 1790535475, 1790535545, 371370544, 371370549, 123139096, 19668668, 123286850, 122929696, 1790365352, 122973560, 19668639, 122973552, 123286846, 122685068, 1790365065, 1790533512, 123072789, 1790364528, 1790364484, 1790364466, 1790364299, 6474392373]",1,0,0,0,0,3,4,1,1,0,0,0,0,3,4,1,1,0,0,0,0,3,4,1
2,1918475191,123570450,34.0372349,-118.3734684,34.042783,-118.5544539,3,825.54,832.1,815.7,816.1,19335.017,19412.249,19335.017,"[1918475191, 123067471, 123067263, 298045710, 62876444, 198484020, 660937721, 365356793, 198191486, 365355606, 1614655423, 864365918, 418032185, 61940791, 194748311, 15857120, 627837690, 1614655108, 658960025, 333174204, 333172720, 243654575, 338162757, 865899971, 9301606831, 9416815579, 9416815557, 122948695, 4085534545, 123307834, 6585208323, 6585177065, 534297857, 7338302776, 6966933962, 6966933941, 6966933934, 123082829, 123007542, 534381974, 123082804, 123570450]","[1918475191, 123067471, 123067263, 18166077, 62876444, 198484020, 660937721, 365356793, 198191486, 365355606, 1614655423, 864365918, 418032185, 61940791, 194748311, 15857120, 627837690, 1614655108, 658960025, 333174204, 333172720, 243654575, 338162757, 865899971, 9301606831, 9416815579, 9416815557, 122948695, 4085534545, 123307834, 6585208323, 6585177065, 534297857, 7338302776, 6966933962, 6966933941, 6966933934, 123082829, 123007542, 534381974, 123082804, 123570450]","[1918475191, 123067471, 123067263, 298045710, 62876444, 198484020, 660937721, 365356793, 198191486, 365355606, 1614655423, 864365918, 418032185, 61940791, 194748311, 15857120, 627837690, 1614655108, 658960025, 333174204, 333172720, 243654575, 338162757, 865899971, 9301606831, 9416815579, 9416815557, 122948695, 4085534545, 123307834, 6585208323, 6585177065, 534297857, 7338302776, 6966933962, 6966933941, 6966933934, 123082829, 123007542, 534381974, 123082804, 123570450]",8,0,0,0,0,2,3,0,9,0,0,0,0,2,3,0,8,0,0,0,0,2,3,0
3,123189034,123075161,33.847259,-118.1307619,33.8525881,-118.1598736,3,218.39,207.1,199.1,224.0,3305.634,3305.634,3301.673,"[123189034, 303611592, 303091475, 1905914802, 122773433, 123474507, 122755569, 123668744, 18309472, 299890778, 1841817730, 2946381532, 2946381527, 123619363, 123520032, 123563510, 123447678, 123075132, 4020565320, 123075136, 122869277, 123075161]","[123189034, 303611592, 303091475, 1905914802, 122773433, 123474507, 122755569, 123668744, 18309472, 299890778, 1841817730, 2946381532, 2946381527, 123619363, 123520032, 123563510, 123447678, 123075132, 4020565320, 123075136, 122869277, 123075161]","[123189034, 303611592, 303091475, 1905914802, 122773433, 123474507, 122755569, 123668744, 18309472, 299890778, 1841817730, 2946381532, 2946381527, 123619363, 123520032, 123563510, 3460784206, 123447687, 123094370, 123177561, 122869281, 1429348414, 122869277, 123075161]",4,0,0,0,0,1,2,0,4,0,0,0,0,1,2,0,4,1,0,0,0,2,3,0
4,123119417,806547103,34.0501762,-118.3331252,34.0605774,-118.2477082,3,853.95,508.9,481.2,543.2,10843.521,10866.5,9244.587,"[123119417, 7365301474, 123224161, 123224246, 123719664, 123151272, 123741062, 123017356, 123017328, 123633567, 6807898673, 21748281, 208541264, 123053713, 122594255, 123621096, 123621057, 123746547, 123273663, 123144244, 122673074, 122783786, 21748280, 122648595, 123067193, 123185637, 123165325, 123305759, 123305761, 4096506809, 4096506807, 209897303, 122401789, 209897348, 1613324238, 1613324259, 277327792, 277327619, 277327830, 277327836, 1614656083, 1614656081, 277328070, 653731, 277327278, 277327281, 304903660, 1286041283, 50810116, 250639828, 806494647, 1345539679, 304691084, 1614922911, 1614922939, 288983234, 1614923025, 15380188, 1614923057, 806547103]","[123119417, 7365301474, 123224161, 123224246, 123719664, 123151272, 123741062, 123017356, 123017328, 123633567, 6807898673, 21748281, 208541264, 123053713, 122594255, 123621096, 123621057, 123746547, 123273663, 123144244, 122673074, 122783786, 21748280, 122648595, 123067193, 123185637, 123165325, 123305759, 123305761, 4096506809, 4096506807, 209897303, 122401789, 209897348, 1613324238, 1613324259, 277327792, 277327619, 277327830, 277327836, 1614656083, 1614656081, 1614656079, 1614656074, 277327497, 212387023, 277327278, 277327281, 304903660, 1286041283, 50810116, 250639828, 806494647, 1345539679, 304691084, 1614922911, 1614922939, 288983234, 1614923025, 15380188, 1614923057, 806547103]","[123119417, 7365301474, 123224161, 123224246, 123719664, 123151272, 123741062, 123017356, 123017328, 123633567, 6807898673, 21748281, 208541264, 123053713, 122594255, 123621096, 123621057, 123746547, 123273663, 123144244, 122673074, 122783786, 21748280, 122728863, 123371055, 122737034, 122991389, 123156448, 21748279, 122583699, 123704897, 123287976, 122652911, 123010112, 123010157, 122733051, 60947702, 123744926, 123744904, 123746545, 123746543, 212328076, 122839378, 123287690, 123660638, 123688902, 212328035, 123667644, 123667631, 21748278, 123182800, 123182811, 122657392, 123318639, 123398529, 212327957, 1770584850, 122770942, 21748274, 21748275, 123063526, 122702264, 122702261, 122674530, 123189494, 122807347, 122807344, 122807342, 122807337, 122485379, 250639828, 806494647, 1345539679, 304691084, 1614922911, 1614922939, 288983234, 1614923025, 15380188, 1614923057, 806547103]",13,0,0,0,0,3,1,0,14,0,0,0,0,3,1,0,25,0,0,0,0,4,2,0
5,123571966,122694207,34.1371524,-118.0567263,34.1114328,-118.1241628,3,407.06,450.7,422.7,449.2,7498.729,7498.729,7421.411,"[123571966, 123231550, 122837316, 122837318, 122837320, 122837322, 122837325, 122837326, 122837328, 339357354, 741072289, 28947757, 268161174, 1211029539, 339356184, 1211029319, 1211029542, 268161158, 326147862, 331119683, 331119652, 331119617, 331119679, 320637206, 4616462673, 480351696, 321881069, 3487633598, 320636451, 6056945180, 268716584, 3308056789, 268716619, 6031400849, 27464744, 1113192643, 27464746, 3636134804, 122844096, 122591626, 588151822, 1832750492, 27464749, 26791822, 122792608, 26791823, 122881452, 4073799403, 122881447, 122685221, 122881444, 123045798, 4049169439, 29363042, 27464750, 4073799397, 183109138, 339353800, 123102656, 339354667, 122694226, 183109250, 122694202, 122694205, 122694207]","[123571966, 123231550, 122837316, 122837318, 122837320, 122837322, 122837325, 122837326, 122837328, 339357354, 741072289, 28947757, 268161174, 1211029539, 339356184, 1211029319, 1211029542, 268161158, 326147862, 331119683, 331119652, 331119617, 331119679, 320637206, 4616462673, 480351696, 321881069, 3487633598, 320636451, 6056945180, 268716584, 3308056789, 268716619, 6031400849, 27464744, 1113192643, 27464746, 3636134804, 122844096, 122591626, 588151822, 1832750492, 27464749, 26791822, 122792608, 26791823, 122881452, 4073799403, 122881447, 122685221, 122881444, 123045798, 4049169439, 29363042, 27464750, 4073799397, 183109138, 339353800, 123102656, 339354667, 122694226, 183109250, 122694202, 122694205, 122694207]","[123571966, 123231550, 122837316, 122837318, 122837320, 122837322, 122837325, 122837326, 123009833, 123009837, 339357354, 741072289, 28947757, 268161174, 1211029539, 339356184, 1211029319, 1211029542, 268161158, 326147862, 331119683, 331119652, 331119617, 331119679, 320637206, 4616462673, 480351696, 321881069, 3487633598, 320636451, 6056945180, 268716584, 3308056789, 268716619, 6031400849, 27464744, 1113192643, 27464746, 3636134804, 122844096, 122591626, 588151822, 1832750492, 27464749, 26791822, 122792608, 26791823, 122881452, 4073799403, 122881447, 122685221, 122881444, 123045798, 4049169439, 29363042, 27464750, 4073799397, 123102659, 123295570, 123430870, 122694207]",14,0,0,0,0,2,1,0,14,0,0,0,0,2,1,0,13,0,0,0,0,3,3,0
6,3496953052,123275948,34.2702661,-118.3980944,34.1460685,-118.059371,3,1193.67,1402.8,1388.8,2147.4,38503.064,38503.064,37673.815,"[3496953052, 122671490, 123271615, 122632886, 122735758, 123271588, 4033472943, 2358202250, 2358202197, 2358202318, 308701579, 308701148, 308701321, 272812784, 2358202419, 355753994, 2358202338, 122488430, 122488420, 322580196, 1842038344, 305421514, 305416215, 25843214, 355765824, 1687054124, 316803571, 318269258, 318024379, 318023176, 318022735, 364283556, 364284520, 322564605, 364285661, 316291115, 316291640, 1686591151, 279670543, 178489644, 178490324, 181077185, 181077295, 182130675, 182130731, 1833697499, 1687115161, 122550246, 268670906, 268671043, 268671522, 268671512, 268671344, 4054796286, 36550557, 36550550, 3480273616, 321925355, 321925465, 321925471, 123275948]","[3496953052, 122671490, 123271615, 122632886, 122735758, 123271588, 4033472943, 2358202250, 2358202197, 2358202318, 308701579, 308701148, 308701321, 272812784, 2358202419, 355753994, 2358202338, 122488430, 122488420, 322580196, 1842038344, 305421514, 305416215, 25843214, 355765824, 1687054124, 316803571, 318269258, 318024379, 318023176, 318022735, 364283556, 364284520, 322564605, 364285661, 316291115, 316291640, 1686591151, 279670543, 178489644, 178490324, 181077185, 181077295, 182130675, 182130731, 1833697499, 1687115161, 122550246, 268670906, 268671043, 268671522, 268671512, 268671344, 4054796286, 36550557, 36550550, 3480273616, 321925355, 321925465, 321925471, 123275948]","[3496953052, 122671490, 123271615, 122632886, 122735758, 123271588, 4033472943, 2358202250, 2358202197, 2358202318, 308701579, 308700054, 308700273, 308700385, 308700386, 308700391, 272581353, 1978624369, 353320438, 1871963619, 1965982714, 123271446, 123271444, 123271442, 123271440, 123271438, 123120731, 123271435, 354912295, 353412530, 344994863, 353936695, 344994740, 318060051, 318060004, 318058888, 318059937, 318059144, 318059147, 318059148, 318059153, 318059155, 318059787, 122937726, 318060323, 123271414, 344993060, 25726933, 353257278, 344993376, 344993319, 344321125, 5827546508, 353313870, 354912814, 354081559, 354081715, 25726934, 354912815, 353909694, 25726936, 354514493, 354514932, 603977683, 5839732735, 354515339, 4039154040, 353305780, 122679983, 603977688, 603977686, 603977684, 603977694, 355343716, 603977768, 603977698, 355633445, 603977798, 4046272954, 355750728, 355358261, 603953349, 603953094, 603952916, 356091435, 603953350, 603953353, 355762464, 603931077, 5792580898, 355224035, 355875531, 355875530, 355875529, 4046189960, 355875696, 355875559, 4046384994, 355875521, 21306075, 123271317, 122978576, 5236390442, 21306074, 3588517970, 122467972, 122875630, 122970334, 122697766, 38446857, 122724871, 5103214035, 5103214034, 122969422, 123271311, 123271307, 4045895820, 123271299, 123271297, 123271291, 5673835094, 5673835096, 5673835101, 5673835104, 5673835105, 5673835107, 5673835108, 5661993506, 5661993504, 5661993511, 5661993509, 5661993513, 5661993518, 5661993519, 5661993520, 318024379, 318023176, 318022385, 318022386, 373547359, 279679747, 373547483, 279678574, 847763855, 11284984284, 847936426, 847936438, 279681207, 4048407108, 279681212, 279681214, 25712882, 123040130, 123140974, 123105610, 122763259, 122575345, 122914079, 122914084, 122914086, 122596425, 122914088, 4048269505, 122914096, 1832664464, 122914099, 122782986, 122914106, 123566834, 451041067, 122754526, 122754528, 122754533, 122754537, 122754541, 122881046, 123020170, 122995831, 123040308, 122968578, 122600271, 122824762, 123566788, 123566790, 123566794, 123566796, 123260564, 123260561, 123085376, 585332977, 122995911, 122806807, 585332979, 123012343, 4046606304, 27879605, 123542723, 122567838, 4046606072, 122803348, 4046606050, 337021870, 591311019, 1969281133, 122618498, 2762003546, 122618495, 341200685, 122618493, 36635946, 2252973572, 591310947, 330364723, 3480273650, 326151751, 11118261649, 4083113671, 11118261652, 2684049808, 3480273637, 3480273638, 36550550, 3480273616, 321925355, 321925465, 321925471, 123275948]",7,0,0,0,0,2,2,0,7,0,0,0,0,2,2,0,80,5,0,0,0,6,4,0
7,7895876605,122813341,34.2863803,-118.4251404,34.225003,-118.393414,3,716.69,437.1,431.1,629.6,10529.937,10529.937,9030.277,"[7895876605, 122727742, 9816962388, 123212216, 122658244, 123621704, 123547538, 123424158, 123386493, 122425776, 38441146, 38441148, 27279401, 38438028, 297532827, 297524040, 297523835, 272065179, 364042935, 272139316, 122422025, 122445333, 1884813480, 4050067075, 5377605897, 340151122, 5377612382, 122411761, 122535921, 123141296, 1929162046, 361132416, 123370763, 122599303, 122599300, 122599297, 122813341]","[7895876605, 122727742, 9816962388, 123212216, 122658244, 123621704, 123547538, 123424158, 123386493, 122425776, 38441146, 38441148, 27279401, 38438028, 297532827, 297524040, 297523835, 272065179, 364042935, 272139316, 122422025, 122445333, 1884813480, 4050067075, 5377605897, 340151122, 5377612382, 122411761, 122535921, 123141296, 1929162046, 361132416, 123370763, 122599303, 122599300, 122599297, 122813341]","[7895876605, 122727742, 9816962388, 123212216, 122658244, 123621704, 123547538, 123424158, 123386493, 122425776, 1847099481, 4035670625, 123621698, 6788253171, 123001255, 1847109173, 1847109205, 123249817, 123120624, 123370469, 3496953011, 123121146, 5168120302, 3496951570, 5168120301, 123455435, 122638607, 122638605, 123225450, 123225448, 122848517, 122848514, 122848511, 3469863683, 122848509, 122848149, 122673638, 122848136, 122848134, 122848132, 122848130, 122848127, 123436297, 122677827, 122651709, 122677829, 122677832, 1835468730, 122610604, 122813347, 122813343, 122813341]",3,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0,9,0,0,0,0,7,7,0
8,122572424,123803670,33.9569476,-118.2385213,33.9300281,-118.0898601,3,1102.0,953.8,923.5,1000.0,20822.1,19820.525,15692.362000000001,"[122572424, 122572421, 123225805, 122973423, 123225807, 1716461333, 123337100, 122929656, 123316703, 123337102, 122747286, 277177180, 1715411609, 122627666, 122926187, 122926220, 123337104, 123337107, 122911507, 1715420883, 123281493, 277174718, 277174719, 123337112, 122907275, 273486549, 123337116, 273486914, 1922406202, 273487610, 1922406201, 273487611, 273489529, 273487612, 273487585, 293918240, 322927827, 322927794, 384342253, 384377566, 384342266, 384342267, 384342248, 384456058, 384403181, 384403440, 384342280, 384406710, 359033520, 359136799, 359161838, 786402033, 384419929, 384430231, 122461140, 122461211, 123149546, 122828637, 123547825, 2481908948, 123149557, 122959279, 123547832, 123303002, 123547835, 123768676, 123382253, 123636880, 123636883, 123803670]","[122572424, 122572421, 123225805, 122973423, 122973425, 1716461273, 1716461333, 123337100, 122929656, 123316703, 123337102, 122747286, 277177180, 1715411609, 122627666, 122926187, 122926220, 123337104, 123337107, 122911507, 1715420883, 123281493, 277174718, 277174719, 123337112, 122907275, 273486549, 123337116, 273486914, 1922406202, 273487610, 1922406201, 273487611, 273489529, 273487612, 273487585, 293918240, 322927827, 322927794, 384342253, 384377566, 384342266, 384342267, 384342248, 384456058, 384403181, 384403440, 384342280, 384406710, 359033520, 359145741, 1390091925, 1390091922, 2481908926, 2481908927, 2481908929, 9265784792, 2481908931, 3485252679, 2481908933, 3933785692, 3933785699, 3933785702, 4022417419, 4022417423, 2481908941, 2481908945, 123149560, 122959281, 123254694, 123254695, 123254696, 123254717, 123254718, 123254719, 1926654534, 123636883, 123803670]","[122572424, 122570054, 122572427, 122572430, 122572436, 122572439, 122572448, 122572452, 123062247, 7771191019, 7771191021, 7771191054, 7771191017, 7771191015, 7771191000, 7771191052, 7771191051, 7771190991, 7771191050, 7771191049, 7771190989, 7771190993, 7771191048, 7771190986, 7771191047, 7771190987, 7771191044, 7771191043, 7771191042, 7771190996, 7771191041, 7771191027, 7771191030, 7771191032, 9414821103, 7771191039, 7771191034, 7771191035, 7771191037, 3602567444, 3602567441, 3602567439, 3602567437, 3602567432, 3602567428, 3602567427, 3602567426, 3572425238, 123062187, 4013514570, 122826555, 122601030, 122475049, 663113052, 122391637, 663129119, 1841934792, 5762826931, 5762826928, 10996324058, 10996324056, 3701930330, 1841934765, 9837903071, 9837903062, 1841934729, 123390991, 4013324482, 4013324476, 4060459501, 4026714235, 4026714233, 4026714230, 8857211120, 4026714229, 122737727, 123062147, 123062145, 123062142, 123062140, 5968243481, 5968244187, 5968244188, 5968244198, 123062134, 2897567406, 18309477, 1711875072, 319883084, 5968243469, 319883157, 16588162, 4060308938, 1349470366, 3627506424, 4022215254, 1349470339, 122484099, 3933785715, 3933785712, 3933785710, 3933785700, 3933785699, 3933785702, 4022417419, 4022417423, 2481908941, 2481908945, 123149560, 122959281, 123254694, 123254695, 123254696, 123254717, 123254718, 123254719, 1926654534, 123636883, 123803670]",7,0,0,0,0,6,3,2,15,1,0,0,0,6,3,0,42,0,1,0,0,4,3,0
9,122911324,1613184424,34.0447223,-118.363339,34.0180577,-118.4181088,3,619.74,376.6,356.2,472.5,6496.389,6573.621,6371.083,"[122911324, 122911325, 612113746, 122763039, 122781179, 123067255, 200014846, 123067259, 123067263, 298045710, 62876444, 198484020, 660937721, 365356793, 198191486, 122734224, 5755613355, 122734070, 122749656, 122956212, 122667715, 123118295, 123084400, 123174015, 1637749282, 1637773623, 123556125, 122584915, 122693319, 122603101, 122981343, 1613184424]","[122911324, 122911325, 612113746, 122763039, 122781179, 123067255, 200014846, 123067259, 123067263, 18166077, 62876444, 198484020, 660937721, 365356793, 198191486, 122734224, 5755613355, 122734070, 122749656, 122956212, 122667715, 123118295, 123084400, 123174015, 1637749282, 1637773623, 123556125, 122584915, 122693319, 122603101, 122981343, 1613184424]","[122911324, 122911325, 612113746, 122763039, 122781179, 123067255, 200014846, 123067259, 123067263, 298045710, 298044339, 8373345503, 1286204977, 122790052, 8417185303, 122873774, 1286204971, 122897557, 122935714, 122554512, 122766696, 123067270, 18166099, 1286204985, 18166100, 1285296054, 122737567, 199663144, 123067499, 123067277, 123112900, 123112901, 123112903, 123112905, 123112907, 122577602, 123061835, 123037360, 122749660, 123356209, 122956215, 122667717, 18166132, 123084404, 123174018, 1637749347, 1613134467, 1613134457, 1613134463, 1613134456, 1613134469, 1613134459, 1615552793, 122693321, 1613184447, 1613184445, 1613184424]",10,0,0,0,0,2,2,0,11,0,0,0,0,3,3,0,13,9,0,0,0,2,4,0
10,1669449295,4334995470,34.109763,-118.2234511,34.0225192,-118.1339908,3,1153.7,996.1,966.1,1258.6,20192.396,20192.396,17393.329,"[1669449295, 1669449370, 1669449517, 1669449098, 1669449076, 1669449033, 1669448853, 1669448883, 1669448624, 1669510718, 1669532117, 1614182645, 1614182636, 1669532066, 17674844, 17729028, 1613060211, 10559926, 1669509951, 1614165430, 1616013641, 1616791885, 1613467353, 1614213165, 1614215102, 1615977272, 1611679520, 1615993736, 1615998124, 1616004118, 1616000838, 1613467339, 14695503, 18660349, 10559930, 2156883447, 1669488411, 1669488408, 1669488407, 14697104, 1614923653, 14697105, 1614923445, 1614923377, 1614923368, 4055678333, 338942399, 807121117, 363477990, 14941348, 807592268, 326712429, 540985818, 19365035, 1614922775, 363468652, 15068253, 604238311, 653766, 317645238, 317645437, 317645602, 317645896, 317640150, 317646428, 1613525086, 581805915, 1613525091, 1613525119, 1377310288, 1098915021, 269612602, 269612798, 664180183, 1623240137, 1111079898, 269613577, 122659465, 122659461, 122659459, 122659457, 122659452, 122659449, 122659446, 4083014937, 4083014935, 253114039, 36729674, 123274582, 36729677, 4334995470]","[1669449295, 1669449370, 1669449517, 1669449098, 1669449076, 1669449033, 1669448853, 1669448883, 1669448624, 1669510718, 1669532117, 1614182645, 1614182636, 1669532066, 17674844, 17729028, 1613060211, 10559926, 1669509951, 1614165430, 1616013641, 1616791885, 1613467353, 1614213165, 1614215102, 1615977272, 1611679520, 1615993736, 1615998124, 1616004118, 1616000838, 1613467339, 14695503, 18660349, 10559930, 2156883447, 1669488411, 1669488408, 1669488407, 14697104, 1614923653, 14697105, 1614923445, 1614923377, 1614923368, 4055678333, 338942399, 807121117, 363477990, 14941348, 807592268, 326712429, 540985818, 19365035, 1614922775, 363468652, 15068253, 604238311, 653766, 317645238, 317645437, 317645602, 317645896, 317640150, 317646428, 1613525086, 581805915, 1613525091, 1613525119, 1377310288, 1098915021, 269612602, 269612798, 664180183, 1623240137, 1111079898, 269613577, 122659465, 122659461, 122659459, 122659457, 122659452, 122659449, 122659446, 4083014937, 4083014935, 253114039, 36729674, 123274582, 36729677, 4334995470]","[1669449295, 1669449370, 1669449517, 1669449098, 1669449076, 1669449033, 1669448853, 1669448883, 1669448624, 1669510718, 1669532117, 1669532113, 1669532090, 1669532066, 17674844, 17729028, 1669510391, 1669510227, 1613060186, 1613060182, 1613060181, 1669509951, 1614165430, 1616013641, 1616791885, 1613467353, 1614213165, 1614215102, 1615977272, 1611679520, 1615993736, 1615998124, 1616004118, 1616000838, 1613467339, 14695503, 18660349, 10559930, 2156883447, 1669488411, 1669488408, 1669488407, 14697104, 1614923653, 14697105, 269596961, 279072574, 5631781817, 18453049, 29312333, 14966389, 123473364, 14798411, 16588311, 123428076, 122563307, 123428072, 21150970, 76413061, 14941693, 911278865, 1884813426, 911278973, 1838297478, 269459069, 123030025, 122688511, 122626555, 15373638, 123030030, 123030033, 122555925, 21150905, 1832202849, 15289719, 5054517956, 122746324, 27463276, 250064922, 123035498, 123186679, 123772820, 123772822, 122940816, 123512277, 122577591, 122577550, 1838292518, 1838292519, 123363244, 122940830, 123363242, 123513933, 123209557, 123513939, 123513941, 122749480, 123513943, 122740405, 123677128, 123677125, 123144580, 123254670, 123167106, 123167109, 123489560, 123489563, 253089394, 123489564, 36220523, 123022169, 76460270, 36729647, 123114359, 122929185, 122555565, 123489566, 21507163, 122555536, 590280146, 122555538, 123205026, 123141548, 122587755, 2081539762, 2081539866, 9837865736, 2133387364, 122742667, 2133387385, 2133387369, 2478012249, 2472531132, 2133387380, 3010224523, 36729670, 4083014944, 4002954813, 4083014939, 4083014937, 4083014935, 253114039, 36729674, 123274582, 36729677, 4334995470]",12,2,0,0,0,6,5,1,12,2,0,0,0,6,5,1,40,1,0,0,0,13,12,1
11,123217834,123194081,33.8720387,-118.0852265,33.9487061,-118.0895857,3,809.73,445.0,439.0,570.4,11348.587,11348.587,9360.242,"[123217834, 4023689449, 4023689450, 123631176, 2909944992, 4023670998, 28245168, 303603993, 303604126, 303604334, 401422649, 303601060, 297814821, 247151589, 416794146, 416793820, 416793821, 416794147, 359167137, 1923406979, 359163406, 359160815, 384421979, 786402033, 384419929, 384430231, 591711479, 253879618, 789103590, 789103484, 789103492, 122478448, 1923406983, 123194081]","[123217834, 4023689449, 4023689450, 123631176, 2909944992, 4023670998, 28245168, 303603993, 303604126, 303604334, 401422649, 303601060, 297814821, 247151589, 416794146, 416793820, 416793821, 416794147, 359167137, 1923406979, 359163406, 359160815, 384421979, 786402033, 384419929, 384430231, 591711479, 253879618, 789103590, 789103484, 789103492, 122478448, 1923406983, 123194081]","[123217834, 4023689449, 4023689450, 123631176, 2909944992, 4023670998, 28245168, 303603993, 303604126, 303605154, 122941069, 2302083277, 122919796, 303604123, 123087297, 123415594, 122725856, 123696088, 123276397, 123699686, 123769821, 122908243, 122729351, 123380567, 4023783587, 122645429, 123031285, 122763058, 122965802, 123290551, 123638409, 123112958, 122967977, 122662616, 123531979, 123328021, 786384531, 2910090056, 5732706352, 2910090060, 2910090061, 2910090062, 2910090063, 2910090067, 2910090069, 2910090070, 4022542685, 4022542688, 9260275064, 3643325093, 2910090077, 2910090078, 3485252675, 2910090079, 2910090083, 4022543013, 2910090085, 2910090086, 2910090088, 2910090089, 123015955, 4060558335, 123043960, 4060521161, 4060521165, 4060521168, 4060521179, 1975870181, 1975870155, 789103008, 789103011, 789103014, 5787374077, 789103015, 123194081]",2,0,0,0,0,2,1,0,2,0,0,0,0,2,1,0,32,0,0,0,0,3,0,0
12,123755679,7128230749,34.0843666,-117.9158108,34.091106,-117.9593624,3,469.61,326.3,300.3,303.4,4683.4,4683.4,4671.957,"[123755679, 123085985, 373526899, 4049191670, 373526918, 373527054, 2398923456, 445011032, 445011064, 10650950752, 10650950767, 445011077, 445011270, 530969893, 445010970, 445010880, 445011112, 3316309583, 3316309586, 5953762675, 3316309588, 3316309584, 3316309575, 445011527, 122814563, 122814569, 122579504, 7128230749]","[123755679, 123085985, 373526899, 4049191670, 373526918, 373527054, 2398923456, 445011032, 445011064, 10650950752, 10650950767, 445011077, 445011270, 530969893, 445010970, 445010880, 445011112, 3316309583, 3316309586, 5953762675, 3316309588, 3316309584, 3316309575, 445011527, 122814563, 122814569, 122579504, 7128230749]","[123755679, 123085985, 373526899, 4049191670, 373526918, 373527054, 2398923456, 445011032, 445011064, 10650950752, 10650950767, 445011077, 445011270, 530969893, 445010970, 445010880, 445011112, 3316309583, 3316309586, 5953762675, 3316309588, 3316309584, 122947920, 122838927, 122947921, 1952046901, 122814569, 122579504, 7128230749]",12,1,0,0,0,2,3,0,12,1,0,0,0,2,3,0,11,1,0,0,0,2,3,0
